Campo de estudio;Países;Periodo;Total
06 Tecnologías de la información y las comunicaciones (TIC);España;2018;0,6
06 Tecnologías de la información y las comunicaciones (TIC);España;2017;0,6
06 Tecnologías de la información y las comunicaciones (TIC);España;2016;0,6
06 Tecnologías de la información y las comunicaciones (TIC);España;2015;0,6
06 Tecnologías de la información y las comunicaciones (TIC);España;2014;0,7
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2020;..
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2019;0,9
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2018;0,9
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2017;..
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2016;..
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2015;..
06 Tecnologías de la información y las comunicaciones (TIC);UE-28;2014;..
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2020;..
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2019;0,9
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2018;0,9
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2017;..
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2016;..
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2015;..
06 Tecnologías de la información y las comunicaciones (TIC);UE27_2020;2014;..
0732 Construcción e ingeniería civil;España;2020;3,4
0732 Construcción e ingeniería civil;España;2019;3,5
0732 Construcción e ingeniería civil;España;2018;3,5
0732 Construcción e ingeniería civil;España;2017;3,7
0732 Construcción e ingeniería civil;España;2016;3,9
0732 Construcción e ingeniería civil;España;2015;4,1
0732 Construcción e ingeniería civil;España;2014;4,4
0732 Construcción e ingeniería civil;UE-28;2020;..
0732 Construcción e ingeniería civil;UE-28;2019;4,1
0732 Construcción e ingeniería civil;UE-28;2018;3,9
0732 Construcción e ingeniería civil;UE-28;2017;..
0732 Construcción e ingeniería civil;UE-28;2016;..
0732 Construcción e ingeniería civil;UE-28;2015;..
0732 Construcción e ingeniería civil;UE-28;2014;..
0732 Construcción e ingeniería civil;UE27_2020;2020;..
0732 Construcción e ingeniería civil;UE27_2020;2019;4,4
0732 Construcción e ingeniería civil;UE27_2020;2018;4,2
0732 Construcción e ingeniería civil;UE27_2020;2017;..
0732 Construcción e ingeniería civil;UE27_2020;2016;..
0732 Construcción e ingeniería civil;UE27_2020;2015;..
0732 Construcción e ingeniería civil;UE27_2020;2014;..
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2020;0,6
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2019;0,6
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2018;0,6
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2017;0,7
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2016;0,7
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2015;0,6
08 Agricultura, ganadería, pesca, silvicultura y veterinaria;España;2014;0,7
